Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
2000,1,1.0,1.0,2000,20,168,168.46153846153848,1,12458.0
,2,0.9,0.04,1800,,,505.3846153846154,2,11981.0
,3,0.55,0.024,1100,,,168.46153846153848,3,11788.0
,4,0.2,0.003,400,,,336.92307692307696,4,11765.0
,,,,,,,168.46153846153848,5,11896.0
,,,,,,,168.46153846153848,6,12228.0
,,,,,,,505.3846153846154,7,12800.0
,,,,,,,168.46153846153848,8,13417.0
,,,,,,,842.3076923076924,9,14289.0
,,,,,,,1179.2307692307693,10,14944.0
,,,,,,,336.92307692307696,11,15302.0
,,,,,,,1179.2307692307693,12,15422.0
,,,,,,,168.46153846153848,13,15410.0
,,,,,,,168.46153846153848,14,15254.0
,,,,,,,673.8461538461539,15,15160.0
,,,,,,,673.8461538461539,16,15281.0
,,,,,,,673.8461538461539,17,16271.0
,,,,,,,336.92307692307696,18,17565.0
,,,,,,,168.46153846153848,19,17586.0
,,,,,,,168.46153846153848,20,17098.0
,,,,,,,,21,16608.0
,,,,,,,,22,15781.0
,,,,,,,,23,14792.0
,,,,,,,,24,13802.0
,,,,,,,,25,13108.0
,,,,,,,,26,12744.0
,,,,,,,,27,12598.0
,,,,,,,,28,12604.0
,,,,,,,,29,12895.0
,,,,,,,,30,13656.0
,,,,,,,,31,14913.0
,,,,,,,,32,15839.0
,,,,,,,,33,16476.0
,,,,,,,,34,16832.0
,,,,,,,,35,16968.0
,,,,,,,,36,16833.0
,,,,,,,,37,16562.0
,,,,,,,,38,16374.0
,,,,,,,,39,16167.0
,,,,,,,,40,16199.0
,,,,,,,,41,17023.0
,,,,,,,,42,18122.0
,,,,,,,,43,17922.0
,,,,,,,,44,17380.0
,,,,,,,,45,16590.0
,,,,,,,,46,15454.0
,,,,,,,,47,14092.0
,,,,,,,,48,12838.0
,,,,,,,,49,11975.0
,,,,,,,,50,11489.0
,,,,,,,,51,11270.0
,,,,,,,,52,11212.0
,,,,,,,,53,11495.0
,,,,,,,,54,12471.0
,,,,,,,,55,14244.0
,,,,,,,,56,15283.0
,,,,,,,,57,15437.0
,,,,,,,,58,15442.0
,,,,,,,,59,15432.0
,,,,,,,,60,15372.0
,,,,,,,,61,15291.0
,,,,,,,,62,15273.0
,,,,,,,,63,15221.0
,,,,,,,,64,15368.0
,,,,,,,,65,16221.0
,,,,,,,,66,17049.0
,,,,,,,,67,16811.0
,,,,,,,,68,16305.0
,,,,,,,,69,15551.0
,,,,,,,,70,14425.0
,,,,,,,,71,13021.0
,,,,,,,,72,11759.0
,,,,,,,,73,10910.0
,,,,,,,,74,10476.0
,,,,,,,,75,10252.0
,,,,,,,,76,10226.0
,,,,,,,,77,10562.0
,,,,,,,,78,11652.0
,,,,,,,,79,13652.0
,,,,,,,,80,14698.0
,,,,,,,,81,14807.0
,,,,,,,,82,14897.0
,,,,,,,,83,15012.0
,,,,,,,,84,15020.0
,,,,,,,,85,14951.0
,,,,,,,,86,14934.0
,,,,,,,,87,14862.0
,,,,,,,,88,14987.0
,,,,,,,,89,15879.0
,,,,,,,,90,17379.0
,,,,,,,,91,17506.0
,,,,,,,,92,17201.0
,,,,,,,,93,16609.0
,,,,,,,,94,15606.0
,,,,,,,,95,14327.0
,,,,,,,,96,13151.0
,,,,,,,,97,12419.0
,,,,,,,,98,12069.0
,,,,,,,,99,11924.0
,,,,,,,,100,11951.0
,,,,,,,,101,12330.0
,,,,,,,,102,13432.0
,,,,,,,,103,15441.0
,,,,,,,,104,16495.0
,,,,,,,,105,16541.0
,,,,,,,,106,16458.0
,,,,,,,,107,16368.0
,,,,,,,,108,16164.0
,,,,,,,,109,15911.0
,,,,,,,,110,15752.0
,,,,,,,,111,15565.0
,,,,,,,,112,15672.0
,,,,,,,,113,16462.0
,,,,,,,,114,17564.0
,,,,,,,,115,17532.0
,,,,,,,,116,17230.0
,,,,,,,,117,16538.0
,,,,,,,,118,15449.0
,,,,,,,,119,14077.0
