region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NENG_CT,NENG_CT_onshore_wind_turbine_1,1,1,22,0.0,0.0,280832.48924413236,0.0,-189778.13085937497,0.0,0.0,0.0,0.0,632594.6,0.0,3743,0.0,0.0,0.0,636337.625,91054.35838475739,545283.2666152426
NENG_CT,NENG_CT_small_hydroelectric_1,1,1,23,0.0,0.0,869593.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,869593.725,-869593.725
NENG_CT,NENG_CT_solar_photovoltaic_1,1,1,24,0.0,0.0,7.0274958754746225e6,0.0,0.0,0.0,0.0,0.0,0.0,2.5424608e7,0.0,154899,0.0,0.0,0.0,2.5579507e7,7.0274958754746225e6,1.8552011124525376e7
NENG_ME,NENG_ME_biomass_1,1,1,25,0.0,0.0,3.0682511999999997e6,0.0,975890.7039062498,0.0,0.0,0.0,0.0,1.5028909e7,0.0,406455,0.0,0.0,0.0,1.5435364e7,4.0441419039062494e6,1.1391222096093751e7
NENG_ME,NENG_ME_conventional_hydroelectric_1,1,1,26,0.0,0.0,1.523496975e7,0.0,0.0,0.0,0.0,0.0,0.0,1.1949323e8,0.0,3056722,0.0,0.0,0.0,1.22549954e8,1.523496975e7,1.0731498425e8
NENG_ME,NENG_ME_natural_gas_fired_combined_cycle_1,1,1,27,0.0,0.0,4.13617051887729e6,0.0,48.57863759994507,347.8361099391038,0.0,137.74463433977206,0.0,871.1604,0.0,4136120,0.0,1329.4349107463788,0.0,4.1369911604003906e6,4.138034113169915e6,-1042.9527695244178
NENG_ME,NENG_ME_natural_gas_fired_combined_cycle_2,1,2,28,0.0,0.0,1.0771115934671145e7,0.0,4.13631981e6,1.854079453970227e7,0.0,5.61007292184886e6,0.0,1.1523463e8,0.0,18149577,0.0,8.586381654529275e7,0.0,1.33384209e8,1.2492211975151503e8,8.46208924848497e6
NENG_ME,NENG_ME_natural_gas_fired_combustion_turbine_1,1,1,29,0.0,0.0,1.8866060036651676e6,0.0,4.7939431875e6,1.32122139244937e7,0.0,2.8791791907201237e6,0.0,9.359423e7,0.0,2663286,0.0,4.806974786268909e7,0.0,9.6257518e7,7.084169016906808e7,2.5415827830931917e7
NENG_ME,NENG_ME_onshore_wind_turbine_1,1,1,30,0.0,0.0,5.145283393030754e7,0.0,-3.78028575e7,0.0,0.0,0.0,0.0,1.28746376e8,0.0,920244,0.0,0.0,1.1821820324885428e8,2.4788482324885428e8,1.3649976430307537e7,2.3423484681854674e8
NENG_ME,NENG_ME_small_hydroelectric_1,1,1,31,0.0,0.0,9.07498735e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.07498735e6,-9.07498735e6
