Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
NENGREST_naturalgas_ctavgcf_mid_0,1,0.0,0.0,0.005557056415721361,0.005557056415721361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_battery_mid_0,1,0.0,0.0,168.35574300395768,168.35574300395768,0.0,0.0,287.6121529352571,287.6121529352571,0.0,0.0,0.0,0.0
NENGREST_naturalgas_ccs100_mid_0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_landbasedwind_ltrg1_mid_130_1,1,0.0,0.0,0.003914681296584049,0.003914681296584049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_utilitypv_losangeles_mid_80_0_2_1,1,0.0,0.0,2378.600051718266,2378.600051718266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,1,0.0,0.0,5979.449831279653,5979.449831279653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_CT_naturalgas_ccccsavgcf_mid_0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_CT_naturalgas_ccavgcf_mid_0,1,0.0,0.0,0.02307701979113821,0.02307701979113821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_CT_naturalgas_ctavgcf_mid_0,1,0.0,0.0,0.0056663887179462516,0.0056663887179462516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_CT_battery_mid_0,1,0.0,0.0,168.3557430043675,168.3557430043675,0.0,0.0,287.6121529361984,287.6121529361984,0.0,0.0,0.0,0.0
NENG_CT_naturalgas_ccs100_mid_0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_CT_landbasedwind_ltrg1_mid_110_1,1,0.0,0.0,0.0019272575093583352,0.0019272575093583352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_CT_utilitypv_losangeles_mid_80_0_2_1,1,0.0,0.0,2764.9768098545774,2764.9768098545774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,1,0.0,0.0,0.0012825435936461278,0.0012825435936461278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_ME_naturalgas_ccccsavgcf_mid_0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_ME_naturalgas_ccavgcf_mid_0,1,0.0,0.0,0.023077019791138034,0.023077019791138034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_ME_naturalgas_ctavgcf_mid_0,1,0.0,0.0,0.005666388717946263,0.005666388717946263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_ME_battery_mid_0,1,0.0,0.0,168.3557430018402,168.3557430018402,0.0,0.0,287.61215292949106,287.61215292949106,0.0,0.0,0.0,0.0
NENG_ME_naturalgas_ccs100_mid_0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_ME_landbasedwind_ltrg1_mid_110_1,1,0.0,0.0,653.846435817914,653.846435817914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_ME_utilitypv_losangeles_mid_100_0_2_1,1,0.0,0.0,4432.924705412402,4432.924705412402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_heat_load_shifting_1,1,165.52,0.0,0.0,165.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_CT_heat_load_shifting_1,1,47.27,0.0,0.0,47.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_ME_heat_load_shifting_1,1,22.56,0.0,0.0,22.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_Fusion,1,0.0,0.0,2495.59380889463,2495.59380889463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,n/a,25400.348,424.9018651486876,19210.547532631488,44185.993667482784,285555.71429000003,0.0,862.8364588009465,286418.550748801,0.0,0.0,0.0,0.0
