Segment,1,2,3,4,Total
t141,1.1366445231372332e-5,1.0057128701522713e-5,1.4532623127676112e-5,3.405236883540031e-5,1.1366445231372332e-5
t142,1.1445602794092116e-5,1.0014648516338708e-5,1.4349921671242437e-5,3.427024018816562e-5,1.1445602794092116e-5
t143,1.1367042482793489e-5,9.795244407437267e-6,1.3689994127594593e-5,3.166759653849821e-5,1.1367042482793489e-5
t144,1.1406565201934938e-5,9.691897922112917e-6,1.3301442628079805e-5,3.1648411811042446e-5,1.1406565201934938e-5
t145,1.1519981758160542e-5,9.578273555823292e-6,1.298159733871163e-5,3.1684899282237297e-5,1.1519981758160542e-5
t146,1.133751304808888e-5,9.456806475170144e-6,1.2697202412189347e-5,3.1430914027567964e-5,1.133751304808888e-5
t147,1.13764089699922e-5,9.409566635034234e-6,1.2596138072085821e-5,3.144904083709619e-5,1.13764089699922e-5
t148,1.1375167875430293e-5,9.396318960630123e-6,1.257087419958311e-5,3.1447999209056925e-5,1.1375167875430293e-5
t149,1.1383945592810095e-5,9.449764199547944e-6,1.2675416620966773e-5,3.1596272690847205e-5,1.1383945592810095e-5
t150,1.1573993455261112e-5,9.702497337637081e-6,1.3291504795386896e-5,3.473787022632217e-5,1.1573993455261112e-5
t151,1.1316809734071704e-5,9.779495396597179e-6,1.3484721824163656e-5,3.442590399369592e-5,1.1316809734071704e-5
t152,1.1313626793470752e-5,9.885269039355792e-6,1.3863253051722278e-5,3.454544678856228e-5,1.1313626793470752e-5
t153,1.1279183128918068e-5,9.966024581273026e-6,1.4221731627716284e-5,3.450947424291494e-5,1.1279183128918068e-5
t154,1.1348442256057807e-5,9.959377928083689e-6,1.3852819886146536e-5,3.427107529552257e-5,1.1348442256057807e-5
t155,1.0951708374387229e-5,9.632761189651545e-6,1.3126654687981923e-5,2.8485491657189464e-5,1.0951708374387229e-5
t156,1.0658641134841227e-5,9.470770070256755e-6,1.2658408992657016e-5,2.6726126717338612e-5,1.0658641134841227e-5
t157,1.0736595984768778e-5,9.466464278908268e-6,1.26956100996067e-5,2.687420174168413e-5,1.0736595984768778e-5
t158,1.0822601200543581e-5,9.450670643469995e-6,1.2666755641851885e-5,2.7008025061561506e-5,1.0822601200543581e-5
t159,1.0934298818100825e-5,9.426365059323883e-6,1.2560030158503551e-5,2.7087504644101463e-5,1.0934298818100825e-5
t160,1.1206274537388548e-5,9.848964208742434e-6,1.3915570648131922e-5,3.194013144713302e-5,1.1206274537388548e-5
t161,1.1122682358371924e-5,1.0011901954662064e-5,1.441408493113319e-5,3.427530397150806e-5,1.1122682358371924e-5
t162,1.1282032439096874e-5,1.0101671294819058e-5,1.4839348026984034e-5,3.433434477988511e-5,1.1282032439096874e-5
t163,1.139478020469002e-5,1.0106875620221007e-5,1.4865536284000334e-5,3.45284315173709e-5,1.139478020469002e-5
t164,1.1411961307830872e-5,1.0077141068655697e-5,1.4727056588319828e-5,3.463790681658218e-5,1.1411961307830872e-5
t165,1.151757199242776e-5,1.0046662462220032e-5,1.4588783705031887e-5,3.472736601095087e-5,1.151757199242776e-5
t166,1.1375400468946077e-5,9.98049762846386e-6,1.4297306403916532e-5,3.4589726816739386e-5,1.1375400468946077e-5
t167,1.1451380657848908e-5,9.908570305592999e-6,1.3978600041109342e-5,3.467950241255261e-5,1.1451380657848908e-5
t168,1.1534708101773487e-5,9.819951579394461e-6,1.3618300962786101e-5,3.4899558393024106e-5,1.1534708101773487e-5
t169,1.1686979313421978e-5,9.691621574849396e-6,1.3304347521991607e-5,3.500142806623231e-5,1.1686979313421978e-5
t170,1.1820907589427937e-5,9.604798803410916e-6,1.3118148941577464e-5,3.49550497829063e-5,1.1820907589427937e-5
t171,1.1530773782664746e-5,9.448123869833134e-6,1.2757154540071736e-5,3.2768610253954515e-5,1.1530773782664746e-5
t172,1.1536230229721017e-5,9.413918130220395e-6,1.2654943458022418e-5,3.191804374163952e-5,1.1536230229721017e-5
t173,1.1503993356731412e-5,9.434940956022223e-6,1.268186981346732e-5,3.1812504107397976e-5,1.1503993356731412e-5
t174,1.1503391819760166e-5,9.491501663238299e-6,1.2829014398702825e-5,3.181852686166284e-5,1.1503391819760166e-5
t175,1.1482476118266148e-5,9.60767714802818e-6,1.312945884758731e-5,3.193433521013016e-5,1.1482476118266148e-5
t176,1.1421733328151985e-5,9.812043782420938e-6,1.3631469839024845e-5,3.4649714498077036e-5,1.1421733328151985e-5
t177,1.1207171629731097e-5,9.725664433634278e-6,1.3518507538939851e-5,3.138434392596522e-5,1.1207171629731097e-5
t178,1.112863078579896e-5,9.832071417075868e-6,1.3903172272361179e-5,3.2038501247416736e-5,1.112863078579896e-5
t179,1.1442956032319628e-5,9.98914202074571e-6,1.396821085435309e-5,3.5095411916210067e-5,1.1442956032319628e-5
t180,1.1424322229011194e-5,1.0015422271816482e-5,1.4101781960863366e-5,3.510705372248893e-5,1.1424322229011194e-5
t181,1.1199989725594363e-5,9.942540198184057e-6,1.365770910246401e-5,3.444377751749314e-5,1.1199989725594363e-5
t182,1.1259636156976469e-5,9.950668292863465e-6,1.3734350726606455e-5,3.461229749908358e-5,1.1259636156976469e-5
t183,1.137618647585143e-5,9.965517978968433e-6,1.3854948204050127e-5,3.48961346685332e-5,1.137618647585143e-5
t184,1.1054129661165227e-5,9.840917611459038e-6,1.4018752636934235e-5,3.1389375647155906e-5,1.1054129661165227e-5
t185,1.1326256698455135e-5,1.0089695906869268e-5,1.4828197677567033e-5,3.458464851640827e-5,1.1326256698455135e-5
t186,1.123099882784966e-5,1.0248575684500098e-5,1.5359368148147326e-5,3.671950107369261e-5,1.123099882784966e-5
t187,1.1224395187416414e-5,1.0115619355269529e-5,1.5029783858463226e-5,3.395462126880995e-5,1.1224395187416414e-5
t188,1.2114676740317793e-5,1.099805822679533e-5,1.7296864997318454e-5,6.36780180776983e-5,1.2114676740317793e-5
t189,1.1431623126305362e-5,1.0071703891570533e-5,1.4769956090425982e-5,3.4163772466045764e-5,1.1431623126305362e-5
t190,1.1524153985027822e-5,1.0028178048023514e-5,1.4551669121615891e-5,3.446459100636209e-5,1.1524153985027822e-5
t191,1.1221208575963318e-5,9.748601641928498e-6,1.365780651471098e-5,3.128420847076171e-5,1.1221208575963318e-5
t192,1.1266090547221602e-5,9.65602456273118e-6,1.3307413530522937e-5,3.140140534091436e-5,1.1266090547221602e-5
t193,1.140655480499079e-5,9.664680425235858e-6,1.3286492584303548e-5,3.330693992078814e-5,1.140655480499079e-5
t194,1.1436767569306011e-5,9.599036102738934e-6,1.3142682437148835e-5,3.332779785250531e-5,1.1436767569306011e-5
t195,1.1393402217091228e-5,9.48911810613801e-6,1.2876248133705574e-5,3.1464889602285055e-5,1.1393402217091228e-5
t196,1.121303472939398e-5,9.461612595351358e-6,1.2809758582626855e-5,3.136062215210854e-5,1.121303472939398e-5
t197,1.1215706576776045e-5,9.536651380285129e-6,1.3001226037215773e-5,3.135414624763686e-5,1.1215706576776045e-5
t198,1.1337214395358482e-5,9.851459957755893e-6,1.3814604676080388e-5,3.4397133838018884e-5,1.1337214395358482e-5
t199,1.1305006746171517e-5,1.0017684171931581e-5,1.4548778373131427e-5,3.419309160460034e-5,1.1305006746171517e-5
t200,1.1625331688196025e-5,1.0381400415617309e-5,1.5732595915409765e-5,4.044627509876699e-5,1.1625331688196025e-5
t201,1.1078024073962573e-5,1.0101166714438038e-5,1.4933239217051345e-5,3.422950339066377e-5,1.1078024073962573e-5
t202,1.1133347321000909e-5,1.0145709785633956e-5,1.5121015100946245e-5,3.479573585610161e-5,1.1133347321000909e-5
t203,1.1225139918405223e-5,1.0072243475869402e-5,1.4294803399654164e-5,3.3728554234479274e-5,1.1225139918405223e-5
t204,1.118312932054439e-5,1.0072502701879817e-5,1.4310102332445046e-5,3.375634134170774e-5,1.118312932054439e-5
t205,1.1195849176993741e-5,1.0047314212288355e-5,1.421470257143903e-5,3.369611760303143e-5,1.1195849176993741e-5
t206,1.1013516545674728e-5,1.001940301967147e-5,1.3942347636096636e-5,3.416505248887546e-5,1.1013516545674728e-5
t207,1.1200719946080106e-5,1.0013613245672927e-5,1.4059932038337938e-5,3.3629231722333215e-5,1.1200719946080106e-5
t208,1.1324767058664818e-5,1.0027127652808726e-5,1.4111346359750232e-5,3.3863675657794264e-5,1.1324767058664818e-5
t209,1.1262893042885806e-5,1.0182762593171526e-5,1.5446365077518666e-5,3.5106162080311126e-5,1.1262893042885806e-5
t210,1.1691957915001297e-5,1.0509446810872401e-5,1.586559318309908e-5,4.411452261726132e-5,1.1691957915001297e-5
t211,1.1220287874289511e-5,1.0440237729304968e-5,1.5513228501083972e-5,4.327577297943852e-5,1.1220287874289511e-5
t212,1.10768636094667e-5,1.0083718939663346e-5,1.4596932658795016e-5,3.4783631664249277e-5,1.10768636094667e-5
t213,1.1220874230944158e-5,1.0155792628781383e-5,1.5246594398562476e-5,3.493112190589506e-5,1.1220874230944158e-5
t214,1.138247319902753e-5,1.013534218948942e-5,1.5075485176721622e-5,3.526109942744917e-5,1.138247319902753e-5
t215,1.1478709662223765e-5,1.0025514909841325e-5,1.4628295285839001e-5,3.5011029821591364e-5,1.1478709662223765e-5
t216,1.1297207198971412e-5,9.881244621234099e-6,1.3976819532461607e-5,3.469078582101997e-5,1.1297207198971412e-5
t217,1.1305667943568656e-5,9.79723256460063e-6,1.3648308691256888e-5,3.4535024609334414e-5,1.1305667943568656e-5
t218,1.1495069259036244e-5,9.785182162224026e-6,1.3447012861224928e-5,3.7418465384616945e-5,1.1495069259036244e-5
t219,1.1531940999994444e-5,9.786566052873014e-6,1.3539046282158851e-5,3.7485031763250095e-5,1.1531940999994444e-5
t220,1.1628422081658964e-5,9.793927885460252e-6,1.351673640282358e-5,3.763699140480146e-5,1.1628422081658964e-5
t221,1.1179013912596216e-5,9.702212164764362e-6,1.3389606543890431e-5,3.4425725324258835e-5,1.1179013912596216e-5
t222,1.1189866043260671e-5,9.841954440160887e-6,1.3828480334139075e-5,3.440259138657055e-5,1.1189866043260671e-5
t223,1.119942214454286e-5,1.0007699847910717e-5,1.4556738876466556e-5,3.424175000443545e-5,1.119942214454286e-5
t224,1.1392779824658633e-5,1.0214574832923688e-5,1.5306203993754515e-5,3.661343782062427e-5,1.1392779824658633e-5
t225,1.1444420342352782e-5,1.0141824442987534e-5,1.5155925413800714e-5,3.480054772856204e-5,1.1444420342352782e-5
t226,1.1191222611497205e-5,1.014282017187039e-5,1.5089783887393424e-5,3.487504146565756e-5,1.1191222611497205e-5
